age,height,weight,activity_level,diet_quality,smoking_status,alcohol_consumption,sleep_hours,stress_level,health_tips
62,199,88,Low,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
65,197,54,Moderate,Average,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
71,188,66,High,Average,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night.
18,194,63,Moderate,Good,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night.
21,167,99,High,Average,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
77,179,82,High,Good,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night.
21,154,57,Moderate,Average,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
57,172,96,Low,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
27,164,83,Low,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
37,186,81,Moderate,Average,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
39,199,84,Moderate,Poor,No,No,4,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
68,166,78,High,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
54,165,95,Moderate,Poor,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
41,181,95,High,Average,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
24,167,66,Moderate,Good,No,Yes,8,Low,Limit alcohol consumption to maintain liver health.
42,150,57,Moderate,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
42,165,76,Moderate,Poor,No,No,9,High,Improve your diet by including more fruits and vegetables.
30,152,75,Moderate,Poor,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
76,179,73,High,Average,Yes,No,7,High,Consider quitting smoking to improve your overall health.
